file,boxes_csv,boxes_parquet,delta_boxes,kilos_csv,kilos_parquet,delta_kilos,rows_csv,rows_parquet,status
datos_semana_1219.csv,3449981,3449981,0,44736464.0,44736464.0,0.0,1532,1532,OK
datos_semana_1220.csv,3318221,3318221,0,45051282.0,45051282.0,0.0,1649,1649,OK
datos_semana_1221.csv,3509069,3509069,0,49590458.0,49590458.0,0.0,1726,1726,OK
datos_semana_1222.csv,1844148,1844148,0,27765191.0,27765191.0,0.0,1052,1052,OK
datos_semana_1223.csv,3316598,3316598,0,49298421.0,49298421.0,0.0,1623,1623,OK
datos_semana_1224.csv,3148573,3148573,0,46448604.0,46448604.0,0.0,1539,1539,OK
datos_semana_1225.csv,4347737,4347737,0,66851220.0,66851220.0,0.0,1872,1872,OK
datos_semana_1226.csv,2206638,2206638,0,33651810.0,33651810.0,0.0,1179,1179,OK
datos_semana_1227.csv,3151987,3151987,0,48798283.0,48798283.0,0.0,1448,1448,OK
datos_semana_1228.csv,2856964,2856964,0,44067837.0,44067837.0,0.0,1355,1355,OK
datos_semana_1229.csv,3064029,3064029,0,46886550.0,46886550.0,0.0,1582,1582,OK
datos_semana_1230.csv,2558741,2558741,0,38766519.0,38766519.0,0.0,1257,1257,OK
datos_semana_1231.csv,2652509,2652509,0,40238222.0,40238222.0,0.0,1385,1385,OK
datos_semana_1232.csv,2565190,2565190,0,39384446.0,39384446.0,0.0,1209,1209,OK
datos_semana_1233.csv,2325384,2325384,0,36360853.0,36360853.0,0.0,1125,1125,OK
datos_semana_1234.csv,3531567,3531567,0,54229037.0,54229037.0,0.0,1348,1348,OK
datos_semana_1235.csv,2587693,2587693,0,40194808.0,40194808.0,0.0,1114,1114,OK
datos_semana_1236.csv,1647161,1647161,0,24900546.0,24900546.0,0.0,698,698,OK
datos_semana_1237.csv,3108246,3108246,0,46181916.0,46181916.0,0.0,1090,1090,OK
datos_semana_1238.csv,2547379,2547379,0,36829223.0,36829223.0,0.0,945,945,OK
datos_semana_1239.csv,2735816,2735816,0,36411426.0,36411426.0,0.0,868,868,OK
datos_semana_1240.csv,2607620,2607620,0,33334187.0,33334187.0,0.0,750,750,OK
datos_semana_1241.csv,2777606,2777606,0,33291075.0,33291075.0,0.0,753,753,OK
datos_semana_1242.csv,1945370,1945370,0,21597338.0,21597338.0,0.0,534,534,OK
datos_semana_1243.csv,1898326,1898326,0,19209224.0,19209224.0,0.0,524,524,OK
datos_semana_1244.csv,1437418,1437418,0,14463995.0,14463995.0,0.0,509,509,OK
datos_semana_1245.csv,1142534,1142534,0,10208657.0,10208657.0,0.0,418,418,OK
datos_semana_1246.csv,1505350,1505350,0,12737924.0,12737924.0,0.0,810,810,OK
datos_semana_1247.csv,2132201,2132201,0,13689860.0,13689860.0,0.0,1210,1210,OK
datos_semana_1248.csv,2862872,2862872,0,15617463.0,15617463.0,0.0,1590,1590,OK
datos_semana_1249.csv,5819964,5819964,0,28412315.0,28412315.0,0.0,2593,2593,OK
datos_semana_1250.csv,8609194,8609194,0,39364282.0,39364282.0,0.0,3296,3296,OK
datos_semana_1251.csv,9817144,9817144,0,45053250.0,45053250.0,0.0,3509,3509,OK
datos_semana_1252.csv,29869448,29869448,0,123202184.0,123202184.0,0.0,6834,6834,OK
datos_semana_1253.csv,22669745,22669745,0,96295659.0,96295659.0,0.0,6337,6337,OK
datos_semana_1254.csv,12848320,12848320,0,53431149.0,53431149.0,0.0,3440,3440,OK
datos_semana_1255.csv,29627589,29627589,0,126301373.0,126301373.0,0.0,7672,7672,OK
datos_semana_1256.csv,13207034,13207034,0,67745295.0,67745295.0,0.0,5285,5285,OK
datos_semana_1257.csv,9247050,9247050,0,58276595.0,58276595.0,0.0,4281,4281,OK
datos_semana_1258.csv,7082204,7082204,0,45887244.0,45887244.0,0.0,3803,3803,OK
datos_semana_1259.csv,10513387,10513387,0,74362353.0,74362353.0,0.0,5061,5061,OK
datos_semana_1260.csv,8170222,8170222,0,61902804.0,61902804.0,0.0,3932,3932,OK
datos_semana_1261.csv,12826939,12826939,0,96474277.0,96474277.0,0.0,4204,4204,OK
datos_semana_1262.csv,10043804,10043804,0,83941686.0,83941686.0,0.0,4099,4099,OK
datos_semana_1263.csv,7059154,7059154,0,66663863.0,66663863.0,0.0,3190,3190,OK
datos_semana_1264.csv,11476650,11476650,0,104894433.0,104894433.0,0.0,4553,4553,OK
datos_semana_1265.csv,8465138,8465138,0,81546036.0,81546036.0,0.0,3500,3500,OK
datos_semana_1266.csv,9062156,9062156,0,85355039.0,85355039.0,0.0,3406,3406,OK
datos_semana_1267.csv,5997026,5997026,0,61552864.0,61552864.0,0.0,2439,2439,OK
datos_semana_1268.csv,8499137,8499137,0,82153902.0,82153902.0,0.0,3021,3021,OK
datos_semana_1269.csv,7373715,7373715,0,75478386.0,75478386.0,0.0,2685,2685,OK
datos_semana_1270.csv,5629164,5629164,0,62416436.0,62416436.0,0.0,2162,2162,OK
datos_semana_1271.csv,4269617,4269617,0,50621131.0,50621131.0,0.0,1787,1787,OK
datos_semana_1272.csv,3660774,3660774,0,49870696.0,49870696.0,0.0,1627,1627,OK
datos_semana_1273.csv,3669786,3669786,0,50873787.0,50873787.0,0.0,1758,1758,OK
datos_semana_1274.csv,3265505,3265505,0,46205182.0,46205182.0,0.0,1551,1551,OK
datos_semana_1275.csv,3719166,3719166,0,55139836.0,55139836.0,0.0,1852,1852,OK
datos_semana_1276.csv,2489192,2489192,0,37340646.0,37340646.0,0.0,1370,1370,OK
datos_semana_1277.csv,2714787,2714787,0,41783801.0,41783801.0,0.0,1332,1332,OK
datos_semana_1278.csv,3588307,3588307,0,53700431.0,53700431.0,0.0,1535,1535,OK
datos_semana_1279.csv,3889700,3889700,0,59053589.0,59053589.0,0.0,1560,1560,OK
datos_semana_1280.csv,3421623,3421623,0,51849718.0,51849718.0,0.0,1516,1516,OK
datos_semana_1281.csv,3747629,3747629,0,57753604.0,57753604.0,0.0,1716,1716,OK
